"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2012-10-30",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-01-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-05-16",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-05-17",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-05-20",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-05-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-05-23",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-05-27",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-05-28",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-05-29",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-05-30",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-05-31",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-06-01",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2013-06-12",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-03-18",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-04-15",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-04-24",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-05-16",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-05-25",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-08-19",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-09-20",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-09-23",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-09-24",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-10-04",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-10-16",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-12-05",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-12-25",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2016-12-26",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2017-09-15",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2017-09-16",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-04-23",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-04-24",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-05-29",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-07-03",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-08-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-08-27",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-09-20",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-09-27",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-09-30",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-10-07",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-10-08",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-11-03",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-11-08",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-12-01",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-12-02",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2018-12-26",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2019-02-17",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2019-05-14",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-05-24",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-05-28",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-05-29",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-05-30",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-01",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-02",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-05",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-06",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-07",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-08",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-11",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-13",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-14",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-16",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-17",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-18",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-28",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-06-30",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-01",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-02",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-05",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-06",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-08",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-10",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-12",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-13",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-18",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-20",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-07-31",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-08-01",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-08-04",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-08-14",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-08-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-08-22",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-08-27",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-09-03",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-09-07",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-09-08",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-10-05",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-10-11",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-10-12",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-10-14",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-10-17",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-10-19",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-10-20",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-10-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-11-08",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-11-09",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-11-19",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2020-12-12",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2021-02-23",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2021-03-16",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2021-04-26",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2021-05-02",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2021-05-08",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2021-05-21",,,,
"US1MTCS0003","MILES CITY 0.7 SW, MT US","46.3995","-105.8491","732.4","2021-05-26",,,,
