NAME,ELEVATION,DATE,PRCP,SNWD,TMAX,TMIN
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/6/2010,0.2,0,68,41
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/7/2010,0.43,0,63,49
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/8/2010,0.01,0,73,40
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/9/2010,0.15,0,62,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/10/2010,0.07,0,59,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/11/2010,0.08,0,65,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/12/2010,0,0,71,40
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/13/2010,0,0,80,41
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/14/2010,0.05,0,79,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/15/2010,0,0,73,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/16/2010,0.7,0,57,44
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/17/2010,0.5,0,48,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/18/2010,0,0,67,45
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/19/2010,0.03,0,75,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/20/2010,0.13,0,73,48
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/21/2010,0.19,0,63,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/22/2010,0,0,72,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/23/2010,0,0,80,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/24/2010,0.1,0,81,54
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/25/2010,0,0,80,54
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/26/2010,0,0,81,48
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/27/2010,0,0,82,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/28/2010,0,0,92,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/29/2010,0.28,0,86,61
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/30/2010,0.07,0,78,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/1/2010,0,0,78,45
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/2/2010,0.07,0,69,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/3/2010,0.04,0,69,48
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/4/2010,0.01,0,72,41
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/5/2010,0.1,0,69,43
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/6/2010,0,0,74,40
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/7/2010,0,0,83,43
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/8/2010,0,0,89,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/9/2010,0,0,94,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/10/2010,0,0,89,53
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/11/2010,0.01,0,85,58
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/12/2010,0,0,84,55
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/13/2010,0,0,68,53
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/14/2010,0,0,80,43
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/15/2010,0,0,89,48
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/16/2010,0,0,93,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/17/2010,0,0,91,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/18/2010,0,0,90,49
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/19/2010,0,0,85,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/20/2010,0,0,86,49
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/21/2010,0,0,85,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/22/2010,0,0,84,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/23/2010,0,0,80,55
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/24/2010,0,0,89,49
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/25/2010,0,0,95,53
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/26/2010,0,0,91,55
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/27/2010,0,0,75,57
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/28/2010,0,0,92,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/29/2010,0,0,91,59
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/30/2010,0.01,0,88,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/31/2010,0.33,0,88,57
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/1/2010,0.02,0,84,54
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/2/2010,0,0,86,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/3/2010,0,0,86,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/4/2010,0,0,87,62
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/5/2010,0.07,0,96,62
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/6/2010,0,0,89,60
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/7/2010,0,0,87,56
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/8/2010,0,0,85,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/9/2010,0.1,0,80,54
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/10/2010,0.27,0,77,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/11/2010,0.02,0,75,54
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/12/2010,0.01,0,78,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/13/2010,0.41,0,73,54
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/14/2010,0,0,80,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/15/2010,0,0,86,53
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/16/2010,0,0,89,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/17/2010,0,0,91,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/18/2010,0.17,0,91,53
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/19/2010,0,0,87,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/20/2010,0,0,88,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/21/2010,0,0,90,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/22/2010,0,0,77,55
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/23/2010,0,0,74,49
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/24/2010,0,0,82,41
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/25/2010,0,0,93,45
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/26/2010,0,0,99,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/27/2010,0,0,70,53
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/28/2010,0,0,68,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/29/2010,0.13,0,60,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/30/2010,0,0,66,45
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,8/31/2010,0.02,0,63,44
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/1/2010,0.28,0,62,45
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/2/2010,0,0,71,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/3/2010,0,0,83,39
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/4/2010,0.01,0,81,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/5/2010,0,0,61,43
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/6/2010,0,0,64,36
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/7/2010,0,0,75,39
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/8/2010,0.2,0,74,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/9/2010,0.63,0,57,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/10/2010,0.02,0,64,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/11/2010,0,0,73,37
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/12/2010,0,0,80,39
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/13/2010,0,0,79,41
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/14/2010,0,0,75,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/15/2010,0,0,76,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/16/2010,0.06,0,67,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/17/2010,0.1,0,57,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/18/2010,0.1,0,68,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/19/2010,0,0,78,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/20/2010,0.05,0,64,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/21/2010,0.11,0,61,48
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/22/2010,0,0,59,38
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/23/2010,0,0,67,36
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/24/2010,0,0,68,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/25/2010,0,0,79,37
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/26/2010,0,0,78,40
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/27/2010,0,0,83,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/28/2010,0,0,86,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/29/2010,0,0,79,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,9/30/2010,0,0,78,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/1/2010,0,0,83,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/2/2010,0,0,84,43
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/3/2010,0,0,82,44
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/4/2010,0.24,0,63,54
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/5/2010,0.01,0,67,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/6/2010,0,0,68,38
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/7/2010,0.58,0,67,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/8/2010,0.04,0,56,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/9/2010,0,0,64,41
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/10/2010,0.04,0,69,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,10/11/2010,0.06,0,54,34
